"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,42.3,1.56,0.58,0,118,281.9,1.3,146.4,0.1576,1.7681,0.5193,3.64,0.67,5.1,0,0,-21,-20.75,-16,0,782.8,NA,9.93,NA,9.45,-0.05,-20.59,929.2,0.0518,NA,0.425,0.4614,0.064,0.6848,0.0011,-28.4,929.2,0,0,-57.6,-0.6957,-75.3,-0.9094,7.87,-0.2506,11.22,-0.16,NA,82.8,NA,-0.4881,132.4,18.25,0,199174,78.8,-58.2,78.8,1.15,NA
"2",2010-12-31,42.3,1.1,0.4388,0,158.2,393.3,4.7,233.1,0.6791958041958,2.331,0.59267734553776,13.3485,0.65519598906108,4.9,0,0,-37.5568,-37.5568,-32.6568,0,110.1,NA,1.3185628742515,NA,1.101,-0.025,-50.7053,343.2,0.0465293668955,NA,-0.0168,0.35455543358946,0.066,0.5108,0.0010170353419781,-74.9,343.2,0,0,-43.5,-0.435,-80.9,-0.809,2.1694058154235,-0.3755685,3.432,13.1485,NA,100,NA,-0.27496839443742,139.2,8.15,0,244779,83.5,-50.2,83.5,1.15,NA
"3",2009-12-31,41.8,0.77,0.4631,0,178,481.4,4.9,281.4,0.68886168910649,2.8,0.58454507685916,-4.9055,0.62081623839344,6,0,0,-48.1095,-48.1095,-42.1095,0,127.1,NA,1.2047393364929,NA,1.2646766169154,-0.015,-42.104,408.5,0.038014125467387,NA,0.0349,0.37393162393162,0.063,0.4737,0.0012463647694225,-103.4,408.5,0,0,-47.6,-0.47363184079602,-98.6,-0.98109452736318,2.2949438202247,-0.47870149253731,4.0646766169154,-6.0055,NA,100.5,NA,-0.26741573033708,142.7,9.86,0,249285,105.5,-44.3,105.5,1.15,NA
"4",2008-12-31,41.4,0.82,0.604,0,202.1,554.7,10.8,430.4,0.57911733046286,4.4740124740125,0.7759149089598,-2.0944,0.33112582781457,5.7,0,0,-27.8164,-27.8164,-22.1164,0,312.8,NA,3.1756345177665,NA,3.2515592515593,0.165,-30.822,743.2,0.034613304488913,NA,0.8606,0.28023312287518,0.058,0.6374,0.0014422210203714,-228.3,743.2,0,0,-26.2,-0.27234927234927,-87.6,-0.91060291060291,3.6773874319644,-0.28915155925156,7.7255717255717,3.0056,NA,96.2,NA,-0.12963879267689,118.3,17.62,0,268838,98.5,-49.2,98.5,1.25,NA
"5",2007-12-31,40.8,1.11,0.5973,0.033009708737864,199.2,493.8,7.8,455.6,0.45500848896435,8.950884086444,0.92264074524099,54.0794,0.36162732295329,4.1,0,0,-93.2004,-93.2004,-89.1005,0,545.7,NA,6.0633333333333,NA,10.721021611002,0.38,-150.9798,1001.3,0.027946537059538,-0.49,0.7171,0.37921880925294,0.0509,0.6757,0.002025111381126,-249.6,994.5,0.0068376068376068,0.0067911714770798,-85.5,-1.6797642436149,-70.4,-1.3831041257367,4.9924698795181,-1.8310500982318,19.538310412574,57.7794,NA,50.9,NA,-0.42921686746988,140,24.73,6.8,238849,90,-15.1,90,1.35,NA
"6",2006-12-31,37.1,1.21,0.5804,0.043271516880647,201.2,240,5,217.3,0.18390318212593,8.0780669144981,0.90541666666667,6.7041,0.41350792556857,3.8,0,0,-39.4452,-39.4452,-35.6452,0,964.3,NA,24.35101010101,NA,35.847583643123,0.51,-47.3493,1181.6,0.050833333333333,-0.78,2.3807,0.43048640367675,0.054,0.5859,0.0079166666666667,-7,1172.5,0.0077611940298508,0.0077014218009479,-34.6,-1.2862453531598,-14.2,-0.52788104089219,5.8275347912525,-1.4663639405205,43.587360594795,7.9041,NA,26.9,NA,-0.17196819085487,62.6,29,9.1,459277,39.6,-90.3,39.6,1.5,NA
"7",2005-12-31,26.6,NA,NA,0.10693641618497,61.8,98.3,1.9,80,0.11399259048162,14.035087719298,0.81383519837233,39.0842,NA,3.1,0,0,-43.3403,-43.3403,-40.2403,0,621.8,NA,28.920930232558,NA,109.08771929825,NA,-81.2245,701.8,0.10783316378433,-0.9,0.0467,0.36839160839161,0.12,0.4437,0.025432349949135,-10.8,694.4,0.01065668202765,0.01054431461955,-42.9,-7.5263157894737,-14.1,-2.4736842105263,11.236245954693,-7.6035596491228,121.82456140351,37.8842,NA,5.7,NA,-0.69417475728155,46.1,21.4,7.4,382237,21.5,-40.7,21.5,1.9,NA
"8",2004-12-31,20.8,0,0,0.13508442776735,NA,66.1,9,46,0.1576962632842,6.7647058823529,0.69591527987897,-2.093,NA,2.4,0,0,-32.3731,-32.3731,-29.9731,0,245.7,33.657534246575,36.132352941176,NA,57.139534883721,NA,-36.8801,291.7,0.17700453857791,-1.72,0,0.38489535941765,NA,0.1634,0.051437216338881,7.3,284.5,0.02530755711775,0.024682893383613,-32.7,-7.6046511627907,-3.6,-0.83720930232558,6.1713665943601,-7.5286395348837,66.162790697674,4.507,-0.13921959229133,4.3,-4.4346780821918,-0.70932754880694,34.1,13.36,7.2,104364,6.8,0,6.8,0,5.4727954971857
"9",2003-12-31,2.3,0,0,0.0625,NA,35.2,3.1,23.2,0.15233092580433,NA,NA,2.3,NA,0.8,0,0,0,0,0.8,0,129.1,1.9922839506173,NA,161.375,645.5,NA,-4.6,152.3,0.13636363636364,-3.03,0,0.44486692015209,NA,0.1918,0.11079545454546,64.8,150.4,0.012632978723404,0.01247537754432,-25,-125,-2.3,-11.5,NA,0,752,4.6,NA,0.2,0,-0.87719298245614,24.4,7.65,1.9,125331,NA,0,0,0,5.0098684210526
