"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,100,1.41,0.4542,0.5609,171.4,484.9,7.3,343.7,0.273,3.4682,0.7088,-8.46,0.78,11.8,0,0,-152,-152.03,-140,0,915.5,19.65,8.03,9.24,0.125,-139.07,1259.2,0.1992,NA,NA,0.155,0.3913,0.032,0.7347,0.0522,46.6,1040.3,0.2104,0.1738,-84.8,-0.8557,-56.3,-0.5681,6.07,-1.5341,10.5,-12.96,NA,99.1,-3.2625,-0.4947,12.8,10.44,218.9,1185401,114,-78.4,NA,114,0.9,3.23
"2",2010-12-31,99.4,0.99,0.4191,0.38721804511278,244.5,550.5,13.2,472.4,0.5540699038236,4.3539170506912,0.85812897366031,12.7714,0.56669052732045,9.2,0,0,-42.7916,-42.7916,-33.5916,0,380.2,NA,4.0881720430107,3.5041474654378,0.135,-59.563,852.6,0.064850136239782,NA,NA,-0.1127,0.25149700598802,0.03,0.6889,0.051044504995459,-73.4,698.1,0.22131499785131,0.18121041520056,-61.3,-0.56497695852535,-89.4,-0.82396313364055,2.8552147239264,-0.39439262672811,6.4341013824885,16.7714,NA,108.5,NA,-0.25071574642127,11.7,7.21,154.5,646233,93,-78.8,NA,93,0.95,NA
"3",2009-12-31,98.9,0.74,0.4614,0.32570503929727,291.7,657.2,13.4,574.3,0.48513262375401,4.7228618421053,0.8738587948874,5.197,0.51473775465973,9.3,0,0,-27.54,-27.54,-18.24,0,609.5,NA,5.3371278458844,5.0123355263158,0.155,-36.837,1183.8,0.0415398660986,NA,NA,0.1153,0.21792890262751,0.028,0.6692,0.046409007912355,-141.7,1042.9,0.13510403682041,0.11902348369657,-30.6,-0.2516447368421,-85.4,-0.70230263157895,3.5752485430236,-0.22648026315789,8.5764802631579,9.297,NA,121.6,NA,-0.10490229688036,14.5,10.12,140.9,829713,114.2,-62.8,NA,114.2,0.95,NA
"4",2008-12-31,97.2,0.73,0.4514,0.72226821192053,67.1,574.2,13.7,491,0.38558190670645,4.580223880597,0.85510275165448,-10.4901,0.35445281346921,6.8,0,0,-13.039,-13.039,-6.239,0,782.4,NA,6.5747899159664,7.2985074626866,0.225,-9.4489,1273.4,0.03030303030303,NA,NA,0.3823,0.31630510846746,0.028,0.8132,0.057645419714385,-249.4,1098.9,0.15879515879516,0.1370347102246,-12,-0.11194029850746,-95.3,-0.88899253731343,16.377049180328,-0.1216328358209,10.250932835821,-3.5901,NA,107.2,NA,-0.17883755588674,13.8,11.11,174.5,909900,119,152.4,7.2106299212598,119,1,NA
"5",2007-12-31,87.2,1.34,0.5238,0.99473684210526,0.9,258.9,2.3,193.7,0.13246255898243,2.7830459770115,0.74816531479336,24.8043,0.33600610920198,6.6,0,0,-38.9083,-38.9083,-32.3083,0,1268.6,NA,11.398023360287,18.227011494253,0.285,-59.4126,1462.3,0.027423715720355,-0.17,NA,1.678,0.34109816971714,0.029,0.8342,0.14252607184241,-22.7,1292.2,0.13163596966414,0.11632359980852,-11,-0.15804597701149,-41.4,-0.5948275862069,1435.7777777778,-0.5590275862069,18.566091954023,20.5043,NA,69.6,NA,-12.222222222222,15.9,14.18,170.1,731280,111.3,-10.3,NA,111.3,1.1,NA
"6",2006-12-31,82.3,3.26,0.5515,0.67161321206319,68.6,255.9,1,193.3,0.12595295497491,7.8897959183673,0.75537319265338,6.1963,0.36264732547598,7.8,0,0,-68.5649,-68.5649,-60.7649,0,1341.4,85.98717948718,23.616197183099,54.751020408163,0.255,-67.9612,1534.7,0.028135990621336,-0.51,NA,-0.4638,0.37429325292122,0.034,0.6882,0.14966783899961,15.6,1394.4,0.10061675272519,0.091418518277188,-45.9,-1.8734693877551,-4.7,-0.19183673469388,20.326530612245,-2.7985673469388,56.914285714286,-0.6037,NA,24.5,-4.3951858974359,-0.66909620991254,12.6,15.02,140.3,1477181,56.8,-142.2,NA,56.8,1.25,7.3465773097176
"7",2005-12-31,72.2,3.58,0.6014,0.98204787234043,2.7,166.4,0.4,94.4,0.095266929054395,2.354114713217,0.56730769230769,-1.4683,0.35916195543731,9.7,0,0,-50.7383,-50.7383,-41.0383,0,896.5,16.008928571429,32.838827838828,22.356608478803,0.185,-39.97,990.9,0.0546875,-0.8,NA,-0.2509,0.46673651126244,0.042,0.5873,0.25540865384615,56,843.2,0.1751660341556,0.14905641336159,-72.4,-1.8054862842893,-4.6,-0.11471321695761,312.2962962963,-1.2652952618454,21.027431421446,-10.7683,NA,40.1,-0.90604178571429,-26.814814814815,8.4,11.12,147.7,804031,27.3,-39.6,NA,27.3,1.35,6.5884308510638
"8",2004-12-31,57.4,2.17,0.6391,NA,NA,208.4,3.5,103.9,0.16666666666667,2.6987012987013,0.49856046065259,1.0683,0.67907995618839,12.2,0,0,-85.4251,-85.4251,-73.2251,0,519.5,7.2963483146067,13.493506493506,12.194835680751,0.085,-77.7934,623.4,0.13675623800384,-0.8,NA,-0.1757,0.38530066815145,0.0509,0.4965,0.2168905950096,71.2,376.2,0.65709728867624,0.39653512993263,-142.5,-3.3450704225352,-11.1,-0.26056338028169,NA,-2.0052849765258,8.830985915493,-7.6317,0.08933775397787,42.6,-1.1997912921348,NA,9.6,5.24,247.2,376770,38.5,-142.5,NA,38.5,1.35,NA
"9",2003-12-31,55.6,1.74,0.6074,0.77381353079771,NA,334.9,7.6,215.5,0.37497824952149,5.2689486552567,NA,0.91,0.57293381626605,12.3,0,0,-64.015,-64.015,-51.715,0,359.2,3.7338877338877,8.7823960880196,7.184,0.185,-60.225,574.7,0.10391161540758,-1.76,NA,-0.3803,0.40226628895184,0.049,0.5028,0.15138847417139,96.2,344.8,0.66676334106728,0.40003480076562,-95,-1.9,-5,-0.1,6.5551330798479,-1.2803,6.896,-3.79,0.05920487385769,50,-0.66543659043659,-1.4136904761905,9.3,5.88,229.9,128630,40.9,-110.3,NA,40.9,1.3,1.9343655334904
"10",2002-12-31,55.2,1.34,0.6318,0.60213543130093,NA,438.7,36.8,289.4,0.50541390150192,3.6084788029925,NA,-48.6,0.467,10.3,0,0,-52.4531,-52.4531,-42.1531,0,283.2,NA,NA,3.5311720698254,0.17,-78.9531,572.6,0.13471620697515,-1.51,NA,0.4653,0.5260663507109,0.069,0.4935,0.11328926373376,80.4,358.3,0.59810214903712,0.37425777156828,-72.2,-0.9002493765586,-23.7,-0.29551122194514,2.5303672316384,-0.6540289276808,4.4675810473816,26.5,NA,80.2,-0.65240199004975,-0.50988700564972,8.6,6.74,214.3,277646,76.2,-78.5,NA,76.2,1.15,3.5223880597015
"11",2001-12-31,NA,0.98,0.7889,0.4087,NA,417.1,9.3,312,0.58208955223881,5.8536585365854,NA,-10.519,0.2165,7,0,0,-34.56,-34.56,-27.56,0,224,NA,NA,4.202626641651,NA,-26.341,536,0.067849436585951,-1.33,-5.3458646616541,0.0657,0.51980792316927,0.081,0.524,0.11771757372333,46.63,373.5,0.36278447121821,0.25279850746269,-73.8,-1.3846153846154,-21.61,-0.40544090056285,1.9046404895461,-0.6484052532833,7.0075046904315,-8.219,NA,NA,-0.74115376367146,-0.3763386027537,11.1,7.11,135.5,810600,53.3,-73.8,NA,79.2,1.25,11.494745871756
