"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,193.1,2.1,0.6353,0.8817,1723,26873,5,2204,0.1537,0.082,NA,0.8,NA,0,0,0,605,605,605,0,12138.7,0.98,20.06,20.06,NA,600,14342.7,0.0026,NA,NA,NA,NA,0.3314,0.052,0.9272,0,12359,1502.7,8.5446,0.8952,-1345,0,NA,0.87,NA,5,0.0083,NA,0.049,-0.7806,0,7.85,12840,2132794,NA,-28.1,NA,NA,2,0.98
"2",2010-12-31,207.9,2.52,0.9262,0.70670992478985,994.4,29657.1,11,2279.8,0.4640436402125,0.076871980065482,NA,0.55333621248111,NA,0,0,0,850.4,850.4,850.4,0,2633.1,2.3706671468443,3.0963076199436,3.0963076199436,NA,839.4,4912.9,0.0035539550394341,NA,NA,NA,NA,0.42816229116945,0.052,0.9362,0.0025929709917693,1110.7,2516.8,0.95204227590591,0.48771601294551,-2672.7,0,NA,2.5309734513274,NA,11,0.012935089369708,NA,0.76564328801657,-2.6877514078842,0,11.59,2396.1,3523329,NA,NA,NA,NA,2.05,1.4490193186846
"3",2009-12-31,207.9,2.75,1.4731,0.70670992478985,994.4,29657.1,11,2279.8,0.5119004850009,0.076871980065482,NA,0.33942027017853,NA,0,0,0,850.4,850.4,850.4,0,2173.8,1.957144143333,2.5562088428975,2.5562088428975,NA,839.4,4453.6,0.0035539550394341,NA,NA,NA,NA,0.57159904534606,0.052,0.6387,0.0025929709917693,1110.7,2057.5,1.1645686512758,0.53801419076702,-2672.7,0,NA,2.0690868865648,NA,11,0.012935089369708,NA,0.76564328801657,-2.6877514078842,0,11.99,2396.1,4679195,NA,-639.9,NA,NA,2,1.3135525733668
"4",2008-12-31,207.9,2.5,1.3849,0.70670992478985,994.4,29657.1,11,2279.8,0.70007676953785,0.076871980065482,NA,0.23106361470142,NA,0,0,0,850.4,850.4,850.4,0,976.7,0.87935536148375,1.1485183443086,1.1485183443086,0.1,NA,3256.5,0.0035539550394341,NA,NA,NA,NA,0.59477124183007,0.052,0.7117,0.0025929709917693,1110.7,860.4,2.7848675034867,0.73578995854445,-2672.7,0,NA,0.86524537409493,NA,NA,NA,NA,0.76564328801657,-2.6877514078842,0,3.98,2396.1,7040455,NA,-374.9,NA,NA,2,0.96047780563339
"5",2007-12-31,125.4,2.25,1.1864,0.2510294810596,3655.8,47415.1,12.4,263.7,0.11022865025289,0.0055615194315735,NA,0.236008091706,NA,0,0,0,824,824,824,0,2128.6,0.46099536535713,2.5832524271845,2.5832524271845,NA,NA,2392.3,0.0021933940875375,NA,NA,NA,NA,NA,0.052,0.843,0.0016745720245238,4617.4,1167,1.0499571550985,0.51218492663963,-1921.9,0,NA,0.31921877564418,NA,NA,NA,NA,0.17845540780526,-0.52571256633295,NA,4.07,1225.3,4437108,NA,-3516.5,NA,NA,1.75,0.49011493310934
"6",2006-12-31,134.8,1.69,0.2629,0.14434177395601,7204.3,39763,11,269.3,0.066767491446422,0.0067726278198325,NA,0.79117535184481,3.4654451549434,0,0.065053759625279,183.328,835.6,599.5931,835.6,0.28244,3764.1,0.46183576064685,4.5046673049306,4.5046673049306,0.06,NA,4033.4,0.0026632799336066,4.47,3.9284116331096,0.1,NA,0.60278304870335,0.052,NA,0.0019968312250082,8150.3,2818.1,0.43124800397431,0.30130906927158,813.2,0,0.22544023610428,0.39116916286107,0.57757419249057,NA,NA,NA,0.073567001950848,0.11287703177269,NA,17.56,1215.3,6216150,NA,552.3,5.1024805359406,NA,1.3,0.47904888593282
"7",2005-12-31,133,1.46,0.1703,0.15513970776724,6591.6,34561.4,9.4,233,0.021012192482505,0.0067416250499112,NA,0.8,13.893670886076,0,0.016695011337868,164.92,842.7,590.3788,842.7,0.29942,10855.8,1.4342449464923,12.882164471342,12.882164471342,0.06,NA,11088.8,0.0031624876307094,6.19,11.802907915994,0.11,NA,0.13386435697162,0.042,NA,0.0022973606393259,7569,9878.4,0.1225299643667,0.10915518360869,711,0,0.23195499296765,1.4986346258875,2.315611814346,NA,NA,NA,0.077999572730876,0.10786455488804,NA,73.06,1210.4,616700,NA,820.3,12.042423503596,NA,1.2,1.4212765957447
"8",2004-12-31,137.6,1.37,0.2272,0.16842358056525,NA,33027.4,8.7,261.9,0.027504725897921,0.0079297795164015,0,1.205985915493,9.7077999051683,0,0.018626309662398,154.112,NA,NA,NA,0.27324,9260.1,1.2105180595317,NA,NA,0.055,NA,9522,0.00347287403792,5.73,10.493891797557,0.105,0,0.13273241428067,0.037,0,0,7649.7,8189.5,0.16270834605287,0.1399390884268,843.6,0,0.18268373636795,1.2447751212172,1.7650545282124,8.7,NA,NA,NA,0.12822422519797,0,60.13,1332.5,902200,NA,843.6,9.7077999051683,0,1.15,1.2035492188685
"9",2003-12-31,143.9,1.05,0.2335,0.14034172069003,NA,30267.7,11.1,182.4,0.017908689248895,NA,0,0.89935760171306,11.191011235955,0,0.015259895088221,138.144,NA,NA,NA,0.28715,10002.6,1.4091344528344,NA,NA,0.075,NA,10185,0.0040670417639926,5.66,11.114840989399,0.085,0,0.12336308282592,0.037,0.9346,0,7098.4,9163.2,0.11151126244107,0.10032400589102,818.8,0,0.16871519296532,1.4640038344783,1.4921348314607,11.1,NA,NA,NA,0.13081961974756,0,62.91,1021.8,183500,NA,0,NA,0,1.15,1.3988847379409
"10",2002-12-31,144.8,0.35,0.3486,0.1582931126944,NA,18852.1,15.4,83.2,0.0088381826486929,NA,0,0.2209,14.471766534277,0,0.013822399350882,115.84,588.5,438.509,588.5,0.25487,9330.5,NA,15.85471537808,15.85471537808,0.09,423.109,9413.7,0.0068109123121562,5.39,10.797773654917,NA,0,0.28020240354206,0.014,0.9358,0,6443.3,8380.6,0.12327279669713,0.1097443088265,579.1,0,0.20003453634951,1.5255761459206,1.6079740593642,15.4,0.035119005138788,0,0.068056586686946,0.10541740998289,0,58.2,1033.1,679350,0,758.9,11.043088680986,0,1.15,1.4480933683051
"11",2001-12-31,NA,0.49,0.4488,0.1441,NA,16199.7,5.6,115,0.014710397052804,NA,0,0.1903,12.024176954732,0,0.0147,103.0838,NA,NA,NA,0.26274,7702.6,NA,NA,NA,0.095,NA,7817.6,0.0079631104279709,4.29,10.223776223776,0.095,NA,0.26494107744108,0.017,0.8832,0,5472.6602,7012.5,0.11480926916221,0.10298557101924,583.2,0,0.17675540123457,1.4662526659139,1.2657028373403,5.6,NA,NA,NA,0.12194203989462,0,43.86,805.1,817400,0,620.5,11.301369863014,0,1.1,1.4284826234963
"12",2000-12-31,NA,1.05,0.4755,0.13676551534333,NA,13894.3,16.4,94,0.010943593922813,NA,NA,0.66246056782334,15.379636937648,0,0.01137739915837,88.68,NA,NA,NA,0.25682,8495.5,NA,NA,NA,0.125,NA,8589.5,0.0096082566232196,NA,12.252873563218,NA,NA,0.22986415659429,0.015,0.8816,NA,4924.5,7794.4,0.10200913476342,0.092566505617324,506.8,0,0.17498026835043,1.8455273002794,123.03709550118,16.4,NA,NA,NA,0.11999810579154,NA,53.3,795.1,NA,NA,521.5,14.946116970278,NA,NA,1.711567201355
"13",1999-12-31,NA,1.1,0.4199,0.16400542560027,NA,12263.9,58.7,93.6,0.012563083861269,NA,NA,0.39295070254823,13.812461695608,0,0.011921848192629,80.606,442.8,389.2433,389.2433,0.12095,7356.8,NA,16.614272809395,18.900259154081,0.1,330.5433,7450.4,0.010494214727778,NA,NA,NA,0,0.35444129385517,0.014,0.8824,NA,4108.7,6761.2,0.1019345678282,0.092505100397294,NA,NA,0.16467007150153,1.9245680453161,1.3812461695608,NA,0.15080540620168,NA,0.094736374035583,0.14320685434517,0,NA,NA,NA,NA,503.1,13.439077718147,0,NA,1.7729338695476
