"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,109.7,0.76,0.1732,NA,-11.3,3606.4,126.9,53.1,0.0044,0.0761,0.0147,-9.52,0.8,309.1,0,0,111,110.7,420,0,11899.9,3.62,14.1,107.5,28.35,17.04,NA,0.12,302.42,11953,0.4391,NA,0.11,0.2591,0.026,NA,0.4547,3290.1,8598.5,0.3901,0.2806,-126.5,-0.1812,-45.6,-0.0653,NA,0.1586,12.32,-191.72,-1.7319,698.2,0.0336,NA,75.4,70.98,3354.5,1527550,844,-157.6,844,1.2,3.58
"2",2010-12-31,114.8,0.41,0.2328,0.89915725870568,317.1,3400.2,66.6,68.3,0.0091719711009051,0.10900095754868,0.020087053702723,-4.4149,0.8,278.7,0,0,90.3,90.3,369,0,7378.3,2.3985111501203,10.853633421595,81.708748615725,19.995392953929,11.775135652729,NA,0.16,306.8149,7446.6,0.45123816246103,NA,0.15,0.15729166666667,0.025,NA,0.44115052055761,3076.2,4619.2,0.61209733287149,0.37969005989311,-139.8,-0.2231088413661,-52,-0.08298755186722,14.567013560391,0.14411107564635,7.3718480689435,-216.5149,-2.3977291003249,626.6,0.029354398283597,-0.44087038789026,58.2,42.96,2827.4,1346762,679.8,-130.8,679.8,1.25,2.3681348386071
"3",2009-12-31,117.1,0.88,0.3642,0.80602331606218,599,3313.6,46.7,166.7,0.023422461395793,0.3000900090009,0.050307822308064,-5.4653,0.8,258.5,0,0,63.7,63.7,322.2,0,6950.4,2.3792147331667,11.46741461805,109.1114599686,21.571694599628,12.51197119712,NA,0.115,280.9653,7117.1,0.45174432641236,NA,0.1741,0.15078037904125,0.024,NA,0.43324480927088,2921.3,4628.1,0.53780168967827,0.34972109426592,-131.3,-0.23636363636364,-60,-0.10801080108011,7.7263772954925,0.11467146714672,8.3314131413141,-217.2653,-3.4107589722865,555.5,0.021805360627118,-0.21919866444073,52.8,40.94,2489,1138245,606.1,-145.4,606.1,1.35,2.3047603626943
"4",2008-12-31,117.5,0.91,0.3679,0.83856884949943,491.8,3211.5,36.2,79,0.011959730527591,0.16631578947368,0.024599096995174,-1.3705,0.60886110356075,211.4,0,0,46.5,46.5,257.9,0,6526.5,2.1993260320135,11.975229357798,140.35483870968,25.306320279178,13.74,NA,0.095,223.0705,6605.5,0.46791219056516,NA,0.0731,0.38720278368452,0.028,NA,0.44374902693445,2967.5,4050.8,0.63066554754616,0.38675346302324,-72.5,-0.15263157894737,-9.3,-0.019578947368421,8.2366815778772,0.097894736842105,8.528,-176.5705,-3.7972156196944,475,0.015669755686605,-0.147417649451,48.8,34.16,2554.7,1965568,545,-112,545,1.4,2.168225832923
"5",2007-12-31,108.4,1.6,0.3675,0.84953621120228,337.4,2384.3,27.8,125.4,0.034405179982441,0.30720235178834,0.052594052761817,-1.1736,0.71836734693878,169.2,0,0,30.1,30.1,199.3,0,3519.4,1.6624468587624,7.8295884315907,116.92358803987,17.658805820371,8.6217540421362,NA,0.1,172.6736,3644.8,0.49993708845363,-0.18,0.1334,0.60450093769535,0.035,NA,0.36446755861259,2117,1739.8,1.0949534429245,0.52266242317823,-61.7,-0.15115139637433,11.6,0.028417442430181,5.1564908120925,0.073738363547281,4.2621264086232,-142.5736,-4.7366657931019,408.2,0.014218233349079,-0.1828689982217,45.6,16.32,1905,1827090,449.5,-59.8,449.5,1.65,1.6254013556903
"6",2006-12-31,105.7,2.21,0.3611,0.80117471276212,385.9,2046.3,29,46.1,0.0091211269834989,0.1313016234691,0.022528466011826,-2.9669,0.70894489061202,133.1,0,0,19.1,19.1,152.2,0,5008.1,2.6430757863627,12.646717171717,262.20418848167,32.904730617608,14.264027342637,NA,0.09,126.1669,5054.2,0.54043884083468,-0.23,0.094,0.19825708061002,0.039,NA,0.35424913258076,1894.8,3499.2,0.44438728852309,0.30766491235012,-76.6,-0.21817146112219,23.2,0.066078040444318,9.067634102099,0.054400455710624,9.9663913414982,-107.0669,-5.6055970688979,351.1,0.010080219548237,-0.19849701995336,42.3,31.17,1555,1544558,396,-70.1,396,1.6,2.6040496676799
"7",2005-12-31,85.6,2.81,0.4229,0.90598290598291,81.4,952.5,19.6,65.7,0.018047467311284,0.25269230769231,0.068976377952756,-3.674,0.8,87.2,0,0,4.7,4.7,91.9,0,3574.7,4.4678165229346,10.938494492044,760.57446808511,38.897714907508,13.748846153846,NA,0.06,75.974,3640.4,0.76461942257218,-0.35,-0.1487,0.24989375265618,0.06,0.9238,0.033070866141732,800.1,2856,0.27464985994398,0.21547082738161,-65,-0.25,14.3,0.055,35.085995085995,0.018076923076923,10.984615384615,-71.274,-15.164680851064,260,0.0058742657167854,-0.7985257985258,28.2,27.5,784.4,638555,326.8,-67.9,326.8,2.35,4.2046662046662
"8",2004-12-31,64.9,2.7,1.1627,NA,NA,917.2,7.2,69.6,0.030601477312698,0.27509881422925,0.075883122546882,-0.1022,0.46443622602563,90.5,0,0,-16.5821,-16.5821,73.9179,0,2204.8,2.8652371669915,8.7146245059288,NA,29.827667028104,9.5239740820734,0.12,NA,66.8201,2274.4,0.81312690798081,-1.08,-0.0748,0.41909620991254,NA,0.7914,0.0015263846489315,769.5,1346.6,0.68899450467845,0.407931762223,-144,-0.62203023758099,-1.1,-0.0047516198704104,NA,-0.071628725701944,5.8168466522678,-83.4022,5.0296651998525,231.5,-0.021549122807018,NA,28.9,17.9,927.8,336843,253,-103.9,253,2.4,NA
"9",2003-12-31,55,2.73,1.3346,0.95200087469932,NA,983,15.1,23.5,0.01638315672058,0.10221835580687,NA,-1.6197,0.40911134422299,84.5,0,0,61.106,61.106,145.606,0,1410.9,1.5833239815958,6.1370160939539,23.089381879131,9.6898472803424,6.6520509193776,NA,NA,132.1257,1434.4,0.87100712105799,NA,-0.2553,0.54876273653566,NA,0.5101,0.002441505595117,891.1,563.7,1.5446159304595,0.60701338538762,-137.2,-0.64686468646865,-19.3,-0.090994813767091,12.840546697039,0.2881,2.6577086280057,-71.0197,-1.1622376863594,212.1,0.068573684210526,-3.125284738041,31.2,9.14,870.7,193780,229.9,-129.4,229.9,2.3,1.5683358845397
"10",2002-12-31,51.1,3.86,1.5869,0.84666887088775,NA,1304.9,103.4,61.1,0.050020466639378,0.23082735171893,NA,176.3,0.5346,102.3,0,0,-25.3,-25.3,77,0,1160.4,NA,NA,NA,15.07012987013,4.3838307517945,NA,NA,-26.4,1221.5,0.87408996857997,-0.77,0.0376,0.86695278969957,NA,0.4501,0.0032952716683271,1148.7,197.2,5.1942190669371,0.8385591485878,-192.6,-0.72761616924821,-20.8,-0.078579523989422,1.0630727762803,-0.095579901775595,0.74499433320741,1.1,NA,264.7,-0.022024897710455,-1.0382749326146,35.6,3.64,1024.3,541212,198.6,-151.6,198.6,2.25,1.0101854270044
"11",2001-12-31,NA,2.73,1.4308,0.6523,NA,1429,530.3,13.9,0.015847679854064,0.057225195553726,NA,-3.2674,0.334,80.5,0,0,56.8979,56.8979,137.3979,0,863.2,NA,NA,15.171034431851,6.2824832111699,3.5537258130918,0.4,NA,-389.6347,877.1,0.83876836948915,NA,0.38,0.96895424836601,0,0.5268,0.081945416375087,1282.193,31.6,26.756329113924,0.96397218105119,-120.1,-0.49444215726636,-34.953,-0.14389872375463,0.070128717265868,0.23424413338823,0.1300946891725,446.5326,7.8479627543371,NA,0.044375456737012,-0.26653351087439,41.3,0.56,845.5,335600,242.9,-209.4,265.6,2.2,0.6840623837441
"12",2000-12-31,NA,1.8,NA,0.25686664257318,NA,948.8,445.3,15,0.017047391749062,0.089338892197737,NA,0,NA,34.8,0,0,31.71631,31.7163,66.5163,0,864.9,NA,NA,27.269881017054,13.002825923446,5.1512805241215,0.4333,NA,-378.7837,879.9,0.80712478920742,NA,NA,0.77712831149241,NA,0.9598,NA,807.5,595.6,0.47733378106112,0.3231048982839,-28.9,-0.17212626563431,-39.8,-0.23704586063133,1.106651802304,0.1889,3.5473496128648,410.5,12.942867565615,NA,0.039277164086687,-0.053697510219249,27.7875,13.53,284.3,NA,167.9,NA,NA,NA,1.0697872340426
