"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-12-31,27.9,NA,NA,0.2265,141.7,230.5,0.3,126,0.2614,0.8268,0.5466,4.87,NA,0.2,0,0,0,-0.2,0,0,356,6.22,1.99,NA,2.34,-5.17,482,0.0039,NA,NA,0.3008,NA,0.602,0.0234,57.2,440.5,0.0942,0.0861,-26.4,-0.1732,28,0.1837,3.11,-0.0013,2.89,4.97,NA,152.4,-0.0035,-0.1863,37.9,16.09,41.5,60441,178.9,-25.9,178.9,NA,2.63
"2",2011-12-31,26.9,NA,NA,0.1211943793911,150.1,207.7,0.3,122.4,0.19413164155432,1.6518218623482,0.58931150698122,17.4543,NA,1.2,0,0,-38.1188,-38.1188,-36.9188,0,508.1,10.497933884298,3.6952727272727,NA,6.8569500674764,-54.673,630.5,0.0038517091959557,NA,NA,0.36812543880178,NA,0.3985,0.012518054886856,48.4,609.8,0.033945555919974,0.032831086439334,-24.5,-0.3306342780027,20.4,0.2753036437247,4.0626249167222,-0.51442307692308,8.2294197031039,16.5543,NA,74.1,-0.78757747933884,-0.16322451698867,18.9,21,20.7,0,137.5,NA,137.5,NA,3.6914519906323
"3",2006-12-31,47.1,1.29,0.4885,0,1.1,1.4,0,1.4,1.5555555555556,NA,1,NA,0.5568065506653,0,0,0,0,0,0,0,-0.5,NA,NA,NA,NA,NA,0.9,0,NA,NA,NA,NA,9e-04,0,-0.3,0.9,0,0,0,NA,-0.3,NA,0.81818181818182,NA,NA,NA,NA,NA,NA,0,NA,0.019,0,25970,NA,NA,NA,1.7,NA
"4",2005-12-31,47.1,2.81,0.9141,0,NA,1.4,0,1.4,1.5555555555556,NA,1,0,0.61481238376545,0,0,0,NA,NA,NA,0,-0.5,NA,NA,NA,NA,NA,0.9,0,NA,0,NA,NA,0.001,0,-0.3,0.9,0,0,0,NA,-0.3,NA,0.81818181818182,NA,NA,0,NA,NA,NA,0,0,0.02,0,64330,NA,0,0,1.6,0.81818181818182
"5",2004-12-31,47.1,3.19,1.0527,0,NA,7.8,0,6.1,6.7777777777778,0.26872246696035,NA,0,0.60606060606061,2,0,0,-2.9828,-2.9828,-0.9828,0,-5.2,NA,-0.22907488986784,NA,-0.22907488986784,-0.9828,0.9,0,NA,-0.4101,NA,NA,0.017,0,-0.8,0.9,0,0,-8.5,-0.37444933920705,-2.4,-0.1057268722467,0.16981132075472,-0.1314,0.039647577092511,-2,0.67051542520736,22.7,3.728475,-1.6037735849057,22,0.02,0,34885,22.7,-8.5,22.7,1.75,0.16981132075472
"6",2003-12-31,46.4,3.42,1.6337,0.51515151515152,NA,31.3,0.1,9.7,0.776,0.25593667546174,NA,-5.8,0.4603,3.1,0,0,-13.6021,-13.6021,-10.5021,0,2.8,NA,NA,NA,0.073878627968338,-10.6021,12.5,0.10223642172524,NA,-0.2043,NA,NA,0.0179,0.21405750798722,3.5,5.7,1.1929824561403,0.544,-21.4,-0.5646437994723,-7.6,-0.20052770448549,0.890625,-0.35889419525066,0.15039577836412,-3,NA,37.9,-3.8863114285714,-3.34375,41.9,0.124,6.8,594898,31.2,-11.3,31.2,2.1,0.8
"7",2002-12-31,NA,4.27,1.7544,0.1274,NA,49.8,0.5,15.6,1.0612244897959,0.32911392405063,NA,0,0.4258,6.4,0,0,-27.4299,-27.4299,-21.0299,0,-0.9,NA,NA,NA,-0.018987341772152,-21.5299,14.7,0.12248995983936,NA,-0.4744,0.90666666666667,0,0.2713,0.15060240963855,12.932,11.1,0.32432432432432,0.24489795918367,-36.8,-0.77637130801688,-4.247,-0.089599156118143,0.44578313253012,-0.57868987341772,0.23417721518987,-5.9,NA,NA,-2.1210872254872,-1.4779116465863,64.4,0.23,3.6,5400,47.4,0,0,2.2,1.1367151252706
"8",2001-12-31,NA,1.75,NA,0.053511705685619,NA,46.1,3.5,6.4,0.17728531855956,0.10996563573883,NA,0.277,NA,4,0,0,-22.30224,-22.3022,-18.3022,0,29.7,NA,NA,NA,0.51030927835052,-22.2695,36.1,0.1236442516269,NA,0.1335,0.78727114210985,NA,0.229,NA,21.9,34.5,0.046376811594203,0.044321329639889,-25.2,-0.43298969072165,3.5,0.060137457044673,1.2921348314607,-0.3832,0.59278350515464,-0.0328,NA,NA,-1.0183671232877,-0.9438202247191,71.7024,0.87,1.6,NA,58.2,-39,50.5,NA,1.2756183745583
"9",2000-12-31,NA,NA,NA,0.020316027088036,NA,66.7,2.9,38.2,0.51621621621622,NA,NA,NA,NA,4.3,0,0,-3.8,-3.8,0.5,0,35.8,NA,NA,71.6,0.51289398280802,0.0979,74,0.055472263868066,11.764705882353,0,0.95372023161653,NA,0.1233,NA,6.1,73.1,0.012311901504788,0.012162162162162,NA,-0.2621776504298,NA,-0.078796561604584,1.684331797235,-0.054441260744986,1.0472779369628,NA,NA,NA,-0.62295081967213,-0.42165898617511,44.4,NA,NA,NA,NA,-18.3,69.8,NA,1.6704288939052
